ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
TinslJa01 ,2009,Jamaal,Tinsley,MEM,N,38,589,133,11,55,66,108,33,5,63,67,140,52,27,22,39,7
TolliAn01 ,2009,Anthony,Tolliver,POR,N,2,4,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
TolliAn01 ,2009,Anthony,Tolliver,GSW,N,44,1423,539,84,235,319,87,32,33,46,127,448,193,134,103,151,50
TolliAn01 ,2009,Anthony,Tolliver,TOT,N,46,1427,539,84,236,320,87,32,33,46,128,449,193,134,103,152,50
TuckeAl02 ,2009,Alando,Tucker,TOT,N,15,96,51,6,4,10,4,0,0,5,6,39,17,21,16,7,1
TuckeAl02 ,2009,Alando,Tucker,PHO,N,11,71,43,5,2,7,3,0,0,4,5,30,13,21,16,7,1
TuckeAl02 ,2009,Alando,Tucker,MIN,N,4,25,8,1,2,3,1,0,0,1,1,9,4,0,0,0,0
TuriaRo01 ,2009,Ronny,Turiaf,GSW,N,42,872,207,54,137,191,90,23,54,49,98,146,85,78,37,1,0
TurkoHi01 ,2009,Hedo,Turkoglu,TOR,N,74,2272,835,42,301,343,304,55,32,125,220,674,276,226,175,289,108
UdokaIm01 ,2009,Ime,Udoka,SAC,N,69,944,250,51,140,191,58,34,6,42,83,241,91,57,42,91,26
UdrihBe01 ,2009,Beno,Udrih,SAC,N,79,2477,1023,38,181,219,372,89,10,136,166,841,415,141,118,199,75
UkicRo01  ,2009,Roko,Ukic,MIL,N,13,97,40,0,3,3,12,1,0,6,6,30,14,11,9,12,3
VarejAn01 ,2009,Anderson,Varejao,CLE,N,76,2166,651,189,389,578,87,71,67,67,223,467,267,175,116,5,1
VillaCh01 ,2009,Charlie,Villanueva,DET,N,78,1848,931,85,280,365,53,48,55,74,223,827,363,130,106,282,99
VujacSa01 ,2009,Sasha,Vujacic,LAL,N,67,575,185,25,54,79,41,20,4,17,67,164,66,33,28,81,25
WadeDw01  ,2009,Dwyane,Wade,MIA,N,77,2792,2045,107,266,373,501,142,82,252,181,1511,719,702,534,243,73
WalkeBi01 ,2009,Bill,Walker,NYK,N,27,739,321,15,68,83,37,23,3,26,79,226,117,47,37,116,50
WilliSe01 ,2009,Sean,Williams,NJN,N,20,227,52,21,25,46,1,8,19,20,41,49,21,19,10,1,0
WilliSh03 ,2009,Shelden,Williams,BOS,N,54,597,201,47,99,146,21,13,21,30,85,121,63,98,75,1,0
WilliTe01 ,2009,Terrence,Williams,NJN,N,78,1764,656,46,302,348,223,43,10,124,126,651,261,144,103,100,31
WrighAn01 ,2009,Antoine,Wright,TOR,N,67,1392,435,38,152,190,71,30,11,58,134,399,162,77,53,173,58
WrighDo01 ,2009,Dorell,Wright,MIA,N,72,1496,510,50,185,235,91,52,32,53,94,419,194,69,61,157,61
WrighJu01 ,2009,Julian,Wright,NOH,N,68,871,259,58,86,144,41,29,18,44,45,232,116,41,25,6,2
YoungNi01 ,2009,Nick,Young,WAS,N,74,1421,639,20,82,102,48,28,8,56,147,558,233,130,104,170,69
YoungSa01 ,2009,Sam,Young,MEM,N,80,1321,595,77,124,201,52,34,20,94,106,497,224,175,136,56,11
YoungTh01 ,2009,Thaddeus,Young,PHI,N,67,2145,926,130,220,350,97,81,15,126,133,813,382,165,114,138,48
