ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ACKERAL01 ,2008,Alex,Acker,TOT,N,25,199,72,8,16,24,12,5,4,7,9,76,30,10,5,20,7
ACKERAL01 ,2008,Alex,Acker,LAC,N,18,179,63,8,14,22,11,3,3,7,9,65,26,8,4,16,7
ACKERAL01 ,2008,Alex,Acker,DET,N,7,20,9,0,2,2,1,2,1,0,0,11,4,2,1,4,0
AdamsHa01 ,2008,Hassan,Adams,TOR,N,12,52,11,1,6,7,1,1,1,4,4,13,4,6,3,0,0
AfflaAr01 ,2008,Arron,Afflalo,DET,N,74,1235,363,30,104,134,44,28,13,43,144,300,131,71,58,107,43
AgerMa01  ,2008,Maurice,Ager,NJN,N,20,95,34,3,7,10,3,1,2,4,17,43,15,8,4,6,0
AhearBl01 ,2008,Blake,Ahearn,SAS,N,3,18,8,0,1,1,2,1,0,1,3,6,2,2,2,4,2
AjincAl01 ,2008,Alexis,Ajinca,CHR,N,31,181,70,9,21,30,3,7,6,12,34,69,25,28,20,2,0
AldriLa01 ,2008,LaMarcus,Aldridge,POR,N,81,3003,1470,234,371,605,157,77,77,121,207,1243,601,334,261,28,7
AlexaJo01 ,2008,Joe,Alexander,MIL,N,59,717,278,44,71,115,42,15,29,52,107,245,102,83,58,46,16
ALLENMA01 ,2008,Malik,Allen,MIL,N,49,578,156,35,68,103,35,7,12,20,89,170,73,21,10,1,0
ALLENRA02 ,2008,Ray,Allen,BOS,N,79,2870,1434,66,212,278,218,69,13,134,157,1040,499,249,237,486,199
ALLENTO01 ,2008,Tony,Allen,BOS,N,46,886,359,22,82,104,66,54,23,77,98,284,137,109,79,27,6
AlmonMo01 ,2008,Morris,Almond,UTA,N,25,257,92,9,27,36,7,4,4,16,31,81,33,26,21,17,5
ALSTORA01 ,2008,Rafer,Alston,ORL,N,29,855,348,8,75,83,148,51,3,52,63,298,123,99,70,101,32
ALSTORA01 ,2008,Rafer,Alston,TOT,N,77,2446,900,33,194,227,406,108,10,140,135,820,316,208,156,331,112
ALSTORA01 ,2008,Rafer,Alston,HOU,N,48,1591,552,25,119,144,258,57,7,88,72,522,193,109,86,230,80
AmundLo01 ,2008,Louis,Amundson,PHO,N,76,1040,321,128,142,270,28,32,65,56,154,250,134,120,53,1,0
ANDERCH01 ,2008,Chris,Andersen,DEN,N,71,1463,452,163,279,442,31,41,175,69,174,292,160,181,130,10,2
AnderRy01 ,2008,Ryan,Anderson,NJN,N,66,1312,487,104,207,311,52,44,20,63,157,407,160,116,98,189,69
ANTHOCA01 ,2008,Carmelo,Anthony,DEN,N,66,2279,1504,106,344,450,222,75,24,199,195,1207,535,468,371,170,63
AnthoJo01 ,2008,Joel,Anthony,MIA,N,65,1053,144,89,108,197,27,20,93,41,139,118,57,46,30,0,0
ARENAGI01 ,2008,Gilbert,Arenas,WAS,N,2,62,26,1,8,9,20,0,1,1,4,23,6,16,12,7,2
ARIZATR01 ,2008,Trevor,Ariza,LAL,N,82,2001,729,111,241,352,145,137,24,87,166,596,274,169,120,191,61
ArmstHi01 ,2008,Hilton,Armstrong,NOH,N,70,1092,338,81,114,195,29,26,45,80,181,246,138,98,62,2,0
ARTESRO01 ,2008,Ron,Artest,HOU,N,69,2453,1181,65,294,359,229,105,24,140,155,1037,416,262,196,383,153
ArthuDa01 ,2008,Darrell,Arthur,MEM,N,76,1464,422,108,238,346,43,52,52,47,206,436,191,60,40,2,0
ATKINCH01 ,2008,Chucky,Atkins,DEN,N,14,116,27,0,6,6,28,2,1,10,5,27,9,4,4,17,5
ATKINCH01 ,2008,Chucky,Atkins,OKC,N,19,299,71,5,13,18,31,8,1,13,22,86,25,12,11,40,10
ATKINCH01 ,2008,Chucky,Atkins,TOT,N,33,415,98,5,19,24,59,10,2,23,27,113,34,16,15,57,15
AugusDJ01 ,2008,D.J.,Augustin,CHR,N,72,1906,850,17,116,133,250,42,2,119,140,621,267,233,208,246,108
AzubuKe01 ,2008,Kelenna,Azubuike,GSW,N,74,2380,1063,112,258,370,117,57,50,95,183,845,392,229,185,210,94
BalkmRe01 ,2008,Renaldo,Balkman,DEN,N,53,783,264,86,117,203,34,47,23,35,98,197,110,65,42,7,2
BANKSMA01 ,2008,Marcus,Banks,MIA,N,16,163,42,0,15,15,22,10,2,11,21,39,15,15,10,14,2
BANKSMA01 ,2008,Marcus,Banks,TOR,N,6,41,14,1,2,3,6,1,0,3,5,18,6,3,1,5,1
BANKSMA01 ,2008,Marcus,Banks,TOT,N,22,204,56,1,17,18,28,11,2,14,26,57,21,18,11,19,3
BARBOLE01 ,2008,Leandro,Barbosa,PHO,N,70,1714,993,34,147,181,162,82,7,93,115,759,366,194,171,240,90
BareaJo01 ,2008,Jose,Barea,DAL,N,78,1582,614,35,136,171,266,37,5,103,120,553,245,93,70,152,54
BargnAn01 ,2008,Andrea,Bargnani,TOR,N,78,2461,1202,70,346,416,94,34,97,135,242,958,431,266,221,291,119
BARNEMA02 ,2008,Matt,Barnes,PHO,N,77,2079,788,79,342,421,212,52,26,130,209,674,285,136,101,341,117
BARRYBR01 ,2008,Brent,Barry,HOU,N,56,855,208,17,77,94,78,24,3,48,45,172,70,20,19,131,49
BASSBR01  ,2008,Brandon,Bass,DAL,N,81,1577,686,129,238,367,43,27,55,86,140,508,252,210,182,6,0
BASTOMA01 ,2008,Maceo,Baston,IND,N,27,217,67,22,30,52,7,6,10,12,39,46,25,27,17,1,0
BATTISH01 ,2008,Shane,Battier,HOU,N,60,2033,436,52,233,285,137,48,54,49,114,354,145,67,55,237,91
BATTITO01 ,2008,Tony,Battie,ORL,N,77,1200,372,92,186,278,31,26,25,46,112,323,158,82,54,9,2
BatumNi01 ,2008,Nicolas,Batum,POR,N,79,1454,426,84,136,220,74,50,40,50,139,361,161,52,42,168,62
BayleJe01 ,2008,Jerryd,Bayless,POR,N,53,652,228,8,49,57,78,16,2,56,81,189,69,103,83,27,7
BeaslMi01 ,2008,Michael,Beasley,MIA,N,81,2008,1123,110,329,439,83,41,37,121,184,957,452,241,186,81,33
BelinMa01 ,2008,Marco,Belinelli,GSW,N,42,881,372,10,61,71,88,36,1,59,73,317,140,52,40,131,52
BELLCH01  ,2008,Charlie,Bell,MIL,N,70,1783,587,32,102,134,151,50,7,76,138,524,217,80,66,240,87
BELLRA01  ,2008,Raja,Bell,CHR,N,45,1604,587,33,146,179,113,37,6,68,109,507,223,81,71,177,70
BELLRA01  ,2008,Raja,Bell,PHO,N,22,711,212,8,56,64,29,13,2,18,57,177,76,21,16,94,44
BELLRA01  ,2008,Raja,Bell,TOT,N,67,2315,799,41,202,243,142,50,8,86,166,684,299,102,87,271,114
BIBBYMI01 ,2008,Mike,Bibby,ATL,N,79,2740,1176,38,240,278,392,98,11,128,145,1005,437,171,135,428,167
BIEDRAN01 ,2008,Andris,Biedrins,GSW,N,62,1863,735,223,470,693,121,63,96,110,236,533,308,216,119,1,0
BILLUCH01 ,2008,Chauncey,Billups,DET,N,2,70,25,1,9,10,15,3,1,4,3,21,7,10,9,7,2
BILLUCH01 ,2008,Chauncey,Billups,DEN,N,77,2720,1375,31,198,229,491,90,17,173,158,959,403,448,409,390,160
BILLUCH01 ,2008,Chauncey,Billups,TOT,N,79,2790,1400,32,207,239,506,93,18,177,161,980,410,458,418,397,162
BLAKEST01 ,2008,Steve,Blake,POR,N,69,2190,757,28,145,173,348,69,4,108,126,647,277,75,63,328,140
BLATCAN01 ,2008,Andray,Blatche,WAS,N,71,1699,713,126,252,378,118,53,74,117,211,630,297,162,114,21,5
BLOUNMA01 ,2008,Mark,Blount,MIA,N,20,207,79,10,31,41,4,1,7,14,17,78,30,13,8,27,11
BOGANKE01 ,2008,Keith,Bogans,MIL,N,29,485,175,16,75,91,33,20,2,22,44,149,56,33,31,92,32
BOGANKE01 ,2008,Keith,Bogans,ORL,N,36,785,189,15,96,111,31,23,2,19,61,175,63,24,21,126,42
BOGANKE01 ,2008,Keith,Bogans,TOT,N,65,1270,364,31,171,202,64,43,4,41,105,324,119,57,52,218,74
BOGUTAN01 ,2008,Andrew,Bogut,MIL,N,36,1125,422,117,252,369,72,23,37,86,130,317,183,98,56,0,0
BONNEMA01 ,2008,Matt,Bonner,SAS,N,80,1930,667,97,289,386,82,47,26,37,190,536,266,23,17,268,118
BooneJo01 ,2008,Josh,Boone,NJN,N,62,998,258,104,154,258,31,22,48,31,106,214,113,85,32,0,0
BOOTHCA01 ,2008,Calvin,Booth,SAC,N,7,55,16,4,6,10,0,1,2,1,10,10,5,8,6,0,0
BOOTHCA01 ,2008,Calvin,Booth,MIN,N,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
BOOTHCA01 ,2008,Calvin,Booth,TOT,N,8,56,16,5,6,11,0,1,2,1,10,10,5,8,6,0,0
BOOZECA01 ,2008,Carlos,Boozer,UTA,N,37,1198,599,111,274,385,79,39,7,79,132,512,251,139,97,0,0
BOSHCH01  ,2008,Chris,Bosh,TOR,N,77,2933,1746,215,556,771,191,67,77,174,189,1263,615,617,504,49,12
BOWENBR01 ,2008,Bruce,Bowen,SAS,N,80,1513,214,16,129,145,40,36,13,25,123,187,79,26,14,98,42
BOWENRY01 ,2008,Ryan,Bowen,NOH,N,21,218,47,10,14,24,9,14,5,5,37,38,22,5,3,0,0
BRANDEL01 ,2008,Elton,Brand,PHI,N,29,921,399,77,177,254,37,17,45,68,78,365,163,108,73,0,0
BreweCo01 ,2008,Corey,Brewer,MIN,N,15,308,93,18,31,49,25,15,3,13,37,90,37,19,14,12,5
BreweRo02 ,2008,Ronnie,Brewer,UTA,N,81,2605,1111,101,199,300,179,138,30,110,129,828,421,352,247,85,22
BrookAa01 ,2008,Aaron,Brooks,HOU,N,80,1996,894,33,124,157,238,46,8,125,152,783,316,172,149,309,113
BrownAn01 ,2008,Andre,Brown,CHR,N,4,41,4,7,5,12,1,1,0,5,9,7,1,2,2,0,0
BrownBo02 ,2008,Bobby,Brown,MIN,N,21,257,116,6,10,16,30,6,2,16,21,113,47,9,8,36,14
BrownBo02 ,2008,Bobby,Brown,SAC,N,47,677,245,8,28,36,87,15,1,47,74,247,94,34,26,94,31
BrownBo02 ,2008,Bobby,Brown,TOT,N,68,934,361,14,38,52,117,21,3,63,95,360,141,43,34,130,45
BROWNDE02 ,2008,Devin,Brown,NOH,N,63,869,328,31,88,119,54,32,5,54,81,313,111,100,78,97,28
BrownDe03 ,2008,Dee.,Brown,PHO,N,2,28,5,0,1,1,3,0,0,3,6,5,1,2,2,4,1
BrownDe03 ,2008,Dee.,Brown,WAS,N,17,233,41,7,21,28,33,10,0,14,22,44,17,3,1,20,6
BrownDe03 ,2008,Dee.,Brown,TOT,N,19,261,46,7,22,29,36,10,0,17,28,49,18,5,3,24,7
BROWNKW01 ,2008,Kwame,Brown,DET,N,58,999,243,91,199,290,32,24,24,50,138,169,90,122,63,0,0
BrownSh01 ,2008,Shannon,Brown,CHR,N,30,339,144,8,16,24,29,18,5,29,33,123,56,30,24,28,8
BrownSh01 ,2008,Shannon,Brown,LAL,N,18,138,58,3,17,20,10,4,2,9,9,42,22,9,8,9,6
BrownSh01 ,2008,Shannon,Brown,TOT,N,48,477,202,11,33,44,39,22,7,38,42,165,78,39,32,37,14
BRYANKO01 ,2008,Kobe,Bryant,LAL,N,82,2965,2201,90,339,429,399,120,37,210,189,1712,800,564,483,336,118
BUCKNGR01 ,2008,Greg,Buckner,MEM,N,63,880,155,32,98,130,57,29,8,38,108,159,61,25,20,51,13
BUTLECA01 ,2008,Caron,Butler,WAS,N,67,2587,1392,118,295,413,290,106,20,210,165,1085,491,402,345,210,65
BUTLERA01 ,2008,Rasual,Butler,NOH,N,82,2618,922,49,222,271,75,51,61,59,159,803,348,110,86,359,140
BYNUMAN01 ,2008,Andrew,Bynum,LAL,N,50,1444,714,137,261,398,71,18,90,85,157,502,281,215,152,0,0
BYNUMWI01 ,2008,Will,Bynum,DET,N,57,800,410,19,56,75,157,34,2,76,85,342,156,119,95,19,3
CALDEJO01 ,2008,Jose,Calderon,TOR,N,68,2333,873,16,178,194,607,74,7,143,114,644,320,154,151,202,82
CAMBYMA01 ,2008,Marcus,Camby,LAC,N,62,1922,641,161,529,690,127,51,132,93,129,496,254,182,132,4,1
CARDIBR01 ,2008,Brian,Cardinal,MIN,N,64,911,190,39,103,142,76,37,13,48,135,169,65,35,30,92,30
CarneRo01 ,2008,Rodney,Carney,MIN,N,67,1204,481,36,90,126,26,45,29,43,94,423,176,66,50,226,79
CARROMA01 ,2008,Matt,Carroll,CHR,N,34,474,139,5,50,55,24,18,5,26,53,138,56,19,15,45,12
CARROMA01 ,2008,Matt,Carroll,DAL,N,21,141,25,2,12,14,3,3,1,7,14,33,9,6,6,8,1
CARROMA01 ,2008,Matt,Carroll,TOT,N,55,615,164,7,62,69,27,21,6,33,67,171,65,25,21,53,13
CARTEAN01 ,2008,Anthony,Carter,DEN,N,78,1788,412,40,165,205,364,96,13,155,142,386,167,78,57,88,21
CARTEVI01 ,2008,Vince,Carter,NJN,N,80,2942,1662,74,336,410,376,82,38,166,234,1345,588,410,335,392,151
CASSESA01 ,2008,Sam,Cassell,BOS,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChalmMa01 ,2008,Mario,Chalmers,MIA,N,82,2629,818,37,191,228,403,160,8,165,240,662,278,193,148,311,114
CHANDTY01 ,2008,Tyson,Chandler,NOH,N,45,1449,397,163,230,393,22,15,56,70,144,283,160,133,77,0,0
ChandWi01 ,2008,Wilson,Chandler,NYK,N,82,2734,1184,91,354,445,170,71,75,139,250,1054,455,215,171,314,103
CLAXTSP01 ,2008,Craig,Claxton,ATL,N,2,15,5,0,0,0,3,0,0,0,1,7,2,2,1,0,0
COLLIJA03 ,2008,Jason,Collins,MIN,N,31,421,57,28,42,70,11,9,13,12,73,70,22,28,13,0,0
COLLIJA04 ,2008,Jarron,Collins,UTA,N,26,200,40,20,17,37,7,2,1,9,35,35,16,11,8,0,0
ColliMa01 ,2008,Mardy,Collins,NYK,N,9,75,20,2,6,8,10,2,0,5,7,23,8,9,4,3,0
ColliMa01 ,2008,Mardy,Collins,LAC,N,39,814,231,29,70,99,101,29,10,53,73,224,97,37,24,28,13
ColliMa01 ,2008,Mardy,Collins,TOT,N,48,889,251,31,76,107,111,31,10,58,80,247,105,46,28,31,13
COLLINI01 ,2008,Nick,Collison,OKC,N,71,1826,584,181,308,489,66,51,50,73,239,428,243,136,98,2,0
ConleMi01 ,2008,Mike,Conley, Jr.,MEM,N,82,2505,895,25,251,276,354,90,8,143,146,730,323,197,161,217,88
COOKBR01  ,2008,Brian,Cook,HOU,N,9,25,12,1,4,5,1,0,3,2,3,16,5,0,0,5,2
COOKBR01  ,2008,Brian,Cook,ORL,N,21,147,62,6,21,27,4,3,0,11,23,60,23,6,5,25,11
COOKBR01  ,2008,Brian,Cook,TOT,N,30,172,74,7,25,32,5,3,3,13,26,76,28,6,5,30,13
CookDa02  ,2008,Daequan,Cook,MIA,N,75,1833,686,19,170,189,71,39,10,42,125,645,242,56,49,395,153
