ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
GreenTa01 ,2007,Taurean,Green,DEN,N,9,29,10,0,6,6,3,1,0,2,2,9,3,4,3,3,1
GreenTa01 ,2007,Taurean,Green,TOT,N,17,73,27,0,10,10,11,2,0,9,5,25,7,12,11,11,2
GREENWI01 ,2007,Willie,Green,PHI,N,74,1968,921,32,151,183,151,54,22,109,119,870,379,148,112,179,51
GRIFFAD01 ,2007,Adrian,Griffin,SEA,N,13,85,14,9,13,22,5,5,1,5,8,16,6,2,2,0,0
GRIFFAD01 ,2007,Adrian,Griffin,CHI,N,22,220,51,19,18,37,22,12,1,16,19,60,24,7,3,0,0
GRIFFAD01 ,2007,Adrian,Griffin,TOT,N,35,305,65,28,31,59,27,17,2,21,27,76,30,9,5,0,0
HAMILRI01 ,2007,Richard,Hamilton,DET,N,72,2421,1244,75,160,235,299,73,10,132,171,1030,499,221,184,141,62
HARDAAN01 ,2007,Anfernee,Hardaway,MIA,N,16,326,60,3,32,35,35,19,1,13,24,60,22,9,8,19,8
HARPRMA01 ,2007,Matt,Harpring,UTA,N,76,1375,622,96,144,240,82,45,14,95,162,474,237,205,146,10,2
HARRIAL01 ,2007,Al,Harrington,GSW,N,81,2188,1102,107,332,439,133,74,16,90,266,923,401,190,147,407,153
HARRIDA01 ,2007,David,Harrison,IND,N,55,707,229,43,75,118,14,20,59,58,164,169,90,96,49,0,0
HARRIDE01 ,2007,Devin,Harris,NJN,N,25,839,386,11,71,82,163,34,8,68,63,306,134,105,87,97,31
HARRIDE01 ,2007,Devin,Harris,DAL,N,39,1186,560,17,74,91,205,56,2,93,127,387,187,196,161,70,25
HARRIDE01 ,2007,Devin,Harris,TOT,N,64,2025,946,28,145,173,368,90,10,161,190,693,321,301,248,167,56
HarriMi01 ,2007,Mike,Harris,HOU,N,17,158,62,24,30,54,3,6,3,9,15,54,27,13,8,2,0
HARRIOT01 ,2007,Othella,Harrington,CHR,N,22,166,46,11,31,42,4,1,4,11,34,42,18,16,10,0,0
HARTJA01  ,2007,Jason,Hart,UTA,N,57,604,165,5,50,55,86,30,3,28,74,180,58,45,38,31,11
HASLEUD01 ,2007,Udonis,Haslem,MIA,N,49,1806,589,107,336,443,68,39,18,67,145,507,237,142,115,0,0
HASSETR01 ,2007,Trenton,Hassell,DAL,N,37,466,76,11,33,44,26,9,1,14,55,80,37,2,1,4,1
HASSETR01 ,2007,Trenton,Hassell,NJN,N,26,311,47,9,30,39,15,4,2,8,35,56,20,8,6,5,1
HASSETR01 ,2007,Trenton,Hassell,TOT,N,63,777,123,20,63,83,41,13,3,22,90,136,57,10,7,9,2
HawesSp01 ,2007,Spencer,Hawes,SAC,N,71,930,334,68,161,229,44,14,40,56,128,318,146,58,38,21,4
HAYESCH01 ,2007,Chuck,Hayes,HOU,N,79,1577,237,132,297,429,91,85,43,62,212,221,113,24,11,3,0
HAYESJA01 ,2007,Jarvis,Hayes,DET,N,82,1285,550,35,143,178,62,46,6,48,137,502,216,60,45,193,73
HAYWOBR01 ,2007,Brendan,Haywood,WAS,N,80,2226,848,273,307,580,71,31,133,108,216,599,316,294,216,0,0
HEADLU01  ,2007,Luther,Head,HOU,N,73,1379,557,18,117,135,138,44,9,70,75,476,206,81,66,225,79
HerrmWa01 ,2007,Walter,Herrmann,CHR,N,17,176,68,10,26,36,4,4,0,4,12,65,25,10,9,26,9
HerrmWa01 ,2007,Walter,Herrmann,DET,N,28,200,85,12,25,37,14,3,1,8,12,79,31,15,12,38,11
HerrmWa01 ,2007,Walter,Herrmann,TOT,N,45,376,153,22,51,73,18,7,1,12,24,144,56,25,21,64,20
HILARMA01 ,2007,Nene,Hilario,DEN,N,16,266,85,30,57,87,15,9,15,21,46,71,29,49,27,1,0
HILLGR01  ,2007,Grant,Hill,PHO,N,70,2224,921,74,279,353,203,65,56,96,153,713,359,196,170,104,33
HINRIKI01 ,2007,Kirk,Hinrich,CHI,N,75,2381,863,28,216,244,453,87,18,157,224,797,330,144,119,240,84
HolliRy01 ,2007,Ryan,Hollins,CHR,N,60,533,145,52,54,106,14,10,30,25,96,93,45,82,55,0,0
HorfoAl01 ,2007,Al,Horford,ATL,N,81,2538,821,248,537,785,124,60,76,137,267,668,333,212,155,5,0
HORRYRO01 ,2007,Robert,Horry,SAS,N,45,579,112,35,74,109,47,21,19,22,55,119,38,28,18,70,18
HOUSEED01 ,2007,Eddie,House,BOS,N,78,1481,584,19,148,167,152,58,10,78,114,530,217,36,33,298,117
HOWARDW01 ,2007,Dwight,Howard,ORL,N,82,3088,1695,279,882,1161,110,74,176,263,274,974,583,897,529,4,0
HOWARJO01 ,2007,Josh,Howard,DAL,N,77,2704,1491,117,405,522,163,58,31,112,204,1225,558,378,309,203,66
HOWARJU01 ,2007,Juwan,Howard,DAL,N,49,402,79,24,67,91,17,6,3,19,61,86,32,20,14,6,1
HUDSOTR01 ,2007,Troy,Hudson,GSW,N,9,94,28,0,7,7,10,4,0,7,4,32,9,6,6,12,4
HUGHELA01 ,2007,Larry,Hughes,CLE,N,40,1210,491,27,116,143,93,60,11,72,91,477,180,108,88,126,43
HUGHELA01 ,2007,Larry,Hughes,CHI,N,28,811,336,12,75,87,87,39,6,44,48,323,125,80,62,68,24
HUGHELA01 ,2007,Larry,Hughes,TOT,N,68,2021,827,39,191,230,180,99,17,116,139,800,305,188,150,194,67
HUMPHKR01 ,2007,Kris,Humphries,TOR,N,70,928,397,89,170,259,28,25,29,47,107,332,161,124,75,2,0
HUNTELI01 ,2007,Lindsey,Hunter,DET,N,24,216,58,4,9,13,33,14,2,13,30,64,22,9,7,26,7
HUNTEST01 ,2007,Steven,Hunter,DEN,N,18,118,39,10,19,29,0,0,6,7,20,28,15,20,9,0,0
IGUODAN01 ,2007,Andre,Iguodala,PHI,N,82,3244,1630,85,361,446,390,171,49,214,187,1277,582,506,365,307,101
