ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BOWENBR01 ,1999,Bruce,Bowen,TOT,N,69,878,196,27,69,96,34,23,15,19,118,194,72,43,25,58,27
BOWENBR01 ,1999,Bruce,Bowen,MIA,N,27,567,137,13,47,60,18,14,10,14,81,121,46,31,19,56,26
BOWENRY01 ,1999,Ryan,Bowen,DEN,N,52,589,131,75,39,114,20,39,13,14,95,117,46,53,38,9,1
BOWMAIR01 ,1999,Ira,Bowman,PHI,N,11,20,5,0,2,2,1,1,0,1,0,2,2,2,1,0,0
BOYKIEA01 ,1999,Earl,Boykins,ORL,N,1,8,6,1,0,1,3,0,0,0,0,4,3,0,0,0,0
BOYKIEA01 ,1999,Earl,Boykins,CLE,N,25,253,132,11,14,25,45,12,1,17,23,112,53,23,18,20,8
BOYKIEA01 ,1999,Earl,Boykins,TOT,N,26,261,138,12,14,26,48,12,1,17,23,116,56,23,18,20,8
BRADLSH01 ,1999,Shawn,Bradley,DAL,N,77,1901,647,160,337,497,60,71,190,74,260,555,266,149,114,5,1
BRAMLAJ01 ,1999,A.j.,Bramlett,CLE,N,8,61,8,12,10,22,0,1,0,3,13,21,4,0,0,0,0
BRANDEL01 ,1999,Elton,Brand,CHI,N,81,2999,1627,348,462,810,155,66,132,228,259,1306,630,536,367,2,0
BRANDTE01 ,1999,Terrell,Brandon,MIN,N,71,2587,1212,44,194,238,629,134,30,184,158,1042,486,208,187,132,53
BROWNCH01 ,1999,Chucky,Brown,TOT,N,63,1096,334,35,132,167,66,20,18,45,114,328,148,52,36,10,2
BROWNCH01 ,1999,Chucky,Brown,SAS,N,30,602,190,11,66,77,41,8,10,28,53,176,82,31,25,3,1
BROWNCH01 ,1999,Chucky,Brown,CHA,N,33,494,144,24,66,90,25,12,8,17,61,152,66,21,11,7,1
BROWNDE01 ,1999,Dee,Brown,TOR,N,38,673,264,9,45,54,86,24,5,39,62,258,93,16,11,187,67
BROWNMA01 ,1999,Marcus,Brown,DET,N,6,45,10,3,4,7,3,0,0,3,8,14,4,2,2,7,0
BROWNPJ01 ,1999,P.j.,Brown,MIA,N,80,2302,764,216,384,600,145,65,61,100,264,671,322,159,120,1,0
BROWNRA01 ,1999,Randy,Brown,CHI,N,59,1625,379,23,121,144,202,61,15,105,120,435,157,84,62,6,3
BRUNSRI01 ,1999,Rick,Brunson,NYK,N,37,289,71,3,24,27,49,9,1,31,35,70,29,18,11,13,2
BRYANKO01 ,1999,Kobe,Bryant,LAL,N,66,2524,1485,108,308,416,323,106,62,182,220,1183,554,403,331,144,46
BRYANMA01 ,1999,Mark,Bryant,CLE,N,75,1712,424,126,226,352,61,31,31,87,250,346,174,94,76,0,0
BUCKNGR01 ,1999,Greg,Buckner,DAL,N,48,923,275,56,118,174,55,38,20,36,148,233,111,63,43,26,10
BUECHJU01 ,1999,Jud,Buechler,DET,N,58,657,130,30,61,91,33,25,16,13,50,156,55,7,2,83,18
BUFORRO01 ,1999,Rodney,Buford,MIA,N,34,386,147,10,38,48,21,10,8,9,44,151,62,22,16,29,7
BULLAMA01 ,1999,Matt,Bullard,HOU,N,56,1024,382,13,125,138,63,19,13,36,85,340,139,30,25,177,79
BURRESC01 ,1999,Scott,Burrell,NJN,N,74,1336,451,65,191,256,72,67,44,38,173,419,165,50,39,232,82
CAFFEJA01 ,1999,Jason,Caffey,GSW,N,71,2159,852,189,293,482,119,62,20,170,269,675,323,345,206,2,0
CAGEMI01  ,1999,Michael,Cage,NJN,N,20,242,27,33,48,81,9,8,8,4,30,24,12,3,3,0,0
CAMBYMA01 ,1999,Marcus,Camby,NYK,N,59,1548,601,174,287,461,49,43,116,72,204,471,226,221,148,2,1
CAMPBEL01 ,1999,Elden,Campbell,CHA,N,78,2538,987,168,422,590,129,56,150,127,269,829,370,358,247,6,0
CARRAN01  ,1999,Antoine,Carr,VAN,N,21,221,67,8,24,32,7,3,6,9,42,64,28,14,11,0,0
CARRCH01  ,1999,Chris,Carr,GSW,N,7,74,39,5,8,13,3,0,1,5,12,33,11,19,16,8,1
CARRCH01  ,1999,Chris,Carr,CHI,N,50,1092,492,36,124,160,81,30,14,112,101,463,185,106,91,93,31
CARRCH01  ,1999,Chris,Carr,TOT,N,57,1166,531,41,132,173,84,30,15,117,113,496,196,125,107,101,32
CARTEAN01 ,1999,Anthony,Carter,MIA,N,79,1859,498,48,151,199,378,93,5,173,167,509,201,124,93,23,3
CARTEVI01 ,1999,Vince,Carter,TOR,N,82,3126,2107,150,326,476,322,110,92,178,263,1696,788,551,436,236,95
CASSESA01 ,1999,Sam,Cassell,MIL,N,81,2899,1506,69,232,301,729,102,8,267,255,1170,545,445,390,90,26
CATOKE01  ,1999,Kelvin,Cato,HOU,N,65,1581,567,102,287,389,26,33,124,71,175,402,216,208,135,4,0
CAUSWDU01 ,1999,Duane,Causwell,MIA,N,25,185,66,11,36,47,2,2,16,10,42,37,20,38,26,0,0
CEBALCE01 ,1999,Cedric,Ceballos,DAL,N,69,2064,1147,172,290,462,90,56,24,125,165,1002,447,248,209,134,44
CELESJO01 ,1999,John,Celestand,LAL,N,16,185,37,1,10,11,20,7,0,16,22,45,15,6,5,9,2
CHAPMRE01 ,1999,Rex,Chapman,PHO,N,53,957,348,10,70,80,62,22,1,38,70,320,124,78,59,123,41
CHEANCA01 ,1999,Calbert,Cheaney,BOS,N,67,1309,267,23,115,138,80,44,14,46,158,273,120,21,9,54,18
CHILCPE01 ,1999,Pete,Chilcutt,TOT,N,56,601,120,46,85,131,27,15,10,20,73,127,53,8,8,26,6
CHILCPE01 ,1999,Pete,Chilcutt,CLE,N,6,30,0,4,5,9,1,0,0,0,3,2,0,0,0,0,0
CHILCPE01 ,1999,Pete,Chilcutt,UTA,N,26,224,47,15,28,43,10,5,4,9,31,62,22,2,2,10,1
CHILCPE01 ,1999,Pete,Chilcutt,LAC,N,24,347,73,27,52,79,16,10,6,11,39,63,31,6,6,16,5
CHILDCH01 ,1999,Chris,Childs,NYK,N,71,1675,376,17,130,147,285,36,4,105,240,357,146,59,47,104,37
CHRISDO01 ,1999,Doug,Christie,TOR,N,73,2264,903,63,222,285,321,102,43,144,167,764,311,216,182,275,99
