ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDURSH01 ,2006,Shareef,Abdur-Rahim,SAC,N,80,2012,793,122,276,398,109,53,40,116,243,654,310,234,170,20,3
AdamsHa01 ,2006,Hassan,Adams,NJN,N,60,497,174,35,42,77,13,17,4,22,47,135,75,36,24,1,0
AgerMa01  ,2006,Maurice,Ager,DAL,N,31,210,69,1,20,21,7,4,3,15,26,69,22,33,20,15,5
AldriLa01 ,2006,LaMarcus,Aldridge,POR,N,63,1390,565,144,168,312,24,22,73,43,186,479,241,115,83,2,0
ALLENMA01 ,2006,Malik,Allen,CHI,N,60,638,242,42,77,119,16,17,16,21,85,258,107,34,28,1,0
ALLENRA02 ,2006,Ray,Allen,SEA,N,55,2222,1454,57,190,247,228,82,11,154,113,1153,505,309,279,443,165
ALLENTO01 ,2006,Tony,Allen,BOS,N,33,807,379,35,89,124,56,49,12,75,86,259,133,134,105,33,8
ALSTORA01 ,2006,Rafer,Alston,HOU,N,82,3037,1085,29,253,282,444,129,10,170,195,1019,382,177,130,528,191
AmundLo01 ,2006,Louis,Amundson,UTA,N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmundLo01 ,2006,Louis,Amundson,PHI,N,10,89,16,13,15,28,1,1,8,5,15,15,6,10,4,0,0
AmundLo01 ,2006,Louis,Amundson,TOT,N,11,91,16,13,15,28,1,1,8,5,15,15,6,10,4,0,0
ANDERAL01 ,2006,Alan,Anderson,CHR,N,17,256,98,11,21,32,21,7,0,22,33,81,37,23,19,20,5
ANDERDE01 ,2006,Derek,Anderson,CHR,N,50,1190,399,29,84,113,133,52,7,56,115,294,126,106,93,152,54
ANTHOCA01 ,2006,Carmelo,Anthony,DEN,N,65,2481,1881,143,249,392,249,77,22,234,203,1453,691,568,459,149,40
ARAUJRA01 ,2006,Rafael,Araujo,UTA,N,28,250,72,22,44,66,10,6,2,17,39,65,27,29,18,0,0
ARENAGI01 ,2006,Gilbert,Arenas,WAS,N,74,2942,2105,61,277,338,443,139,13,236,249,1547,647,718,606,583,205
ARIZATR01 ,2006,Trevor,Ariza,ORL,N,57,1279,506,98,151,249,65,59,19,84,134,371,200,171,106,7,0
ARMSTDA01 ,2006,Darrell,Armstrong,IND,N,81,1275,457,34,101,135,191,70,6,76,102,377,156,93,73,214,72
ArmstHi01 ,2006,Hilton,Armstrong,NOO,N,55,628,176,58,89,147,10,12,26,35,79,125,68,67,40,0,0
ARROYCA01 ,2006,Carlos,Arroyo,ORL,N,72,1304,552,31,103,134,202,39,2,90,131,478,203,166,132,51,14
ARTESRO01 ,2006,Ron,Artest,SAC,N,70,2642,1316,102,352,454,235,149,43,146,205,1040,458,415,307,260,93
ATKINCH01 ,2006,Chucky,Atkins,MEM,N,75,2065,988,18,121,139,346,50,4,127,136,715,310,311,252,306,116
AugusJa01 ,2006,James,Augustine,ORL,N,2,8,2,1,2,3,2,0,0,0,2,3,1,0,0,0,0
AzubuKe01 ,2006,Kelenna,Azubuike,GSW,N,41,670,291,26,68,94,28,22,10,39,49,220,98,78,61,79,34
BalkmRe01 ,2006,Renaldo,Balkman,NYK,N,67,1064,334,97,197,294,44,57,44,49,146,275,139,90,51,27,5
BANKSMA01 ,2006,Marcus,Banks,PHO,N,45,501,221,10,28,38,60,23,3,40,70,196,84,60,48,29,5
BARBOLE01 ,2006,Leandrinho,Barbosa,PHO,N,80,2617,1444,22,192,214,317,96,15,146,210,1111,529,232,196,438,190
BareaJo01 ,2006,Jose,Barea,DAL,N,33,191,78,7,18,25,24,1,1,14,19,78,28,24,16,21,6
BargnAn01 ,2006,Andrea,Bargnani,TOR,N,65,1629,751,52,203,255,50,32,53,107,180,625,267,142,117,268,100
BARNEMA02 ,2006,Matt,Barnes,GSW,N,76,1815,746,91,259,350,156,73,41,105,188,628,275,123,90,290,106
BARREAN01 ,2006,Andre,Barrett,CHI,N,6,28,8,1,4,5,7,0,0,4,4,8,4,0,0,0,0
BARROEA01 ,2006,Earl,Barron,MIA,N,28,202,65,19,22,41,5,6,4,11,21,83,24,18,17,1,0
BARRYBR01 ,2006,Brent,Barry,SAS,N,75,1633,635,17,143,160,138,56,12,61,88,425,202,117,103,287,128
BASSBR01  ,2006,Brandon,Bass,NOO,N,21,161,42,13,30,43,3,2,3,10,16,44,15,16,12,1,0
BASTOMA01 ,2006,Maceo,Baston,IND,N,47,402,138,21,53,74,16,12,18,32,65,76,49,47,37,7,3
BATISES01 ,2006,Esteban,Batista,ATL,N,13,81,20,7,23,30,4,3,0,4,13,16,8,7,4,0,0
BATTISH01 ,2006,Shane,Battier,HOU,N,82,2990,829,67,271,338,175,79,60,72,190,654,292,113,88,373,157
BATTITO01 ,2006,Tony,Battie,ORL,N,66,1576,404,92,252,344,35,29,30,61,185,360,176,77,52,1,0
BELLCH01  ,2006,Charlie,Bell,MIL,N,82,2849,1112,57,181,238,247,97,4,105,213,975,427,168,131,361,127
