ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDURSH01 ,2005,Shareef,Abdur-Rahim,SAC,N,72,1958,887,106,251,357,149,48,42,108,227,632,332,278,218,22,5
ACKERAL01 ,2005,Alex,Acker,DET,N,5,35,9,1,4,5,4,1,0,4,4,16,4,0,0,5,1
ALLENMA01 ,2005,Malik,Allen,CHI,N,53,699,266,44,96,140,20,14,16,34,92,247,121,38,23,1,1
ALLENRA02 ,2005,Ray,Allen,SEA,N,78,3023,1955,71,261,332,286,105,16,188,151,1500,681,359,324,653,269
ALLENTO01 ,2005,Tony,Allen,BOS,N,51,979,369,32,79,111,67,51,18,67,126,274,129,134,100,34,11
ALSTORA01 ,2005,Rafer,Alston,HOU,N,63,2431,761,36,219,255,425,101,15,157,194,738,280,143,99,312,102
ANDERAL01 ,2005,Alan,Anderson,CHR,N,36,563,207,23,47,70,32,11,4,32,48,181,75,41,33,58,24
ANDERCH01 ,2005,Chris,Andersen,NOO,N,32,568,161,61,94,155,6,8,41,26,84,98,56,103,49,0,0
ANDERDE01 ,2005,Derek,Anderson,HOU,N,20,582,216,12,71,83,53,15,4,37,49,173,68,73,61,67,19
ANDERDE01 ,2005,Derek,Anderson,MIA,N,23,466,133,9,51,60,48,8,2,17,49,130,40,38,32,67,21
ANDERDE01 ,2005,Derek,Anderson,TOT,N,43,1048,349,21,122,143,101,23,6,54,98,303,108,111,93,134,40
ANDERSH01 ,2005,Shandon,Anderson,MIA,N,48,640,126,18,63,81,30,17,6,24,75,126,54,18,13,19,5
ANDRIMA01 ,2005,Martynas,Andriuskevicius,CLE,N,6,10,0,1,3,4,0,2,0,0,1,1,0,0,0,0,0
ANTHOCA01 ,2005,Carmelo,Anthony,DEN,N,80,2939,2122,122,272,394,216,88,42,218,230,1572,756,709,573,152,37
ARAUJRA01 ,2005,Rafael,Araujo,TOR,N,53,618,125,44,101,145,21,25,6,42,104,152,55,28,15,2,0
ARENAGI01 ,2005,Gilbert,Arenas,WAS,N,80,3381,2346,59,221,280,484,161,25,297,286,1668,746,799,655,540,199
ARIZATR01 ,2005,Trevor,Ariza,ORL,N,21,290,99,29,52,81,15,14,2,16,22,80,32,50,35,2,0
ARIZATR01 ,2005,Trevor,Ariza,NYK,N,36,711,165,49,88,137,46,43,9,46,78,146,61,77,42,3,1
ARIZATR01 ,2005,Trevor,Ariza,TOT,N,57,1001,264,78,140,218,61,57,11,62,100,226,93,127,77,5,1
ARMSTDA01 ,2005,Darrell,Armstrong,DAL,N,62,621,130,18,63,81,86,27,3,58,71,128,43,42,33,48,11
ARROYCA01 ,2005,Carlos,Arroyo,ORL,N,27,596,291,9,51,60,77,19,1,38,42,221,111,79,64,14,5
ARROYCA01 ,2005,Carlos,Arroyo,DET,N,50,599,158,24,46,70,155,19,3,45,77,157,57,58,42,6,2
ARROYCA01 ,2005,Carlos,Arroyo,TOT,N,77,1195,449,33,97,130,232,38,4,83,119,378,168,137,106,20,7
ARTESRO01 ,2005,Ron,Artest,TOT,N,56,2210,984,75,211,286,203,122,41,131,164,867,350,305,206,253,78
ARTESRO01 ,2005,Ron,Artest,IND,N,16,606,310,26,52,78,35,42,11,43,45,237,109,121,74,54,18
ARTESRO01 ,2005,Ron,Artest,SAC,N,40,1604,674,49,159,208,168,80,30,88,119,630,241,184,132,199,60
ATKINCH01 ,2005,Chucky,Atkins,MEM,N,43,1159,491,11,64,75,129,29,2,57,94,399,160,132,107,182,64
ATKINCH01 ,2005,Chucky,Atkins,WAS,N,28,553,187,12,33,45,69,14,0,30,58,174,66,31,22,92,33
ATKINCH01 ,2005,Chucky,Atkins,TOT,N,71,1712,678,23,97,120,198,43,2,87,152,573,226,163,129,274,97
AUGMOST01 ,2005,Stacey,Augmon,ORL,N,36,389,71,18,35,53,23,12,6,11,40,73,25,30,21,0,0
BAKERVI01 ,2005,Vin,Baker,LAC,N,8,84,27,2,17,19,4,4,4,9,13,15,7,18,13,0,0
BANKSMA01 ,2005,Marcus,Banks,BOS,N,18,268,99,4,15,19,32,7,0,23,38,80,33,30,27,19,6
BANKSMA01 ,2005,Marcus,Banks,MIN,N,40,1227,479,19,97,116,188,47,11,96,124,388,186,117,91,44,16
BANKSMA01 ,2005,Marcus,Banks,TOT,N,58,1495,578,23,112,135,220,54,11,119,162,468,219,147,118,63,22
BARBOLE01 ,2005,Leandrinho,Barbosa,PHO,N,57,1591,744,31,119,150,158,48,6,89,145,567,273,147,111,196,87
BARNEMA02 ,2005,Matt,Barnes,PHI,N,50,540,149,41,56,97,22,16,7,24,92,110,59,43,29,11,2
BARNEMA02 ,2005,Matt,Barnes,NYK,N,6,92,26,7,17,24,6,4,0,6,8,30,11,4,3,4,1
BARNEMA02 ,2005,Matt,Barnes,TOT,N,56,632,175,48,73,121,28,20,7,30,100,140,70,47,32,15,3
BARREAN01 ,2005,Andre,Barrett,TOT,N,19,282,87,9,16,25,52,10,0,15,13,104,38,12,9,14,2
BARREAN01 ,2005,Andre,Barrett,TOR,N,17,261,78,8,14,22,50,10,0,14,12,97,35,9,6,13,2
BARREAN01 ,2005,Andre,Barrett,PHO,N,2,21,9,1,2,3,2,0,0,1,1,7,3,3,3,1,0
BARROEA01 ,2005,Earl,Barron,MIA,N,8,46,13,2,8,10,0,0,0,5,10,16,5,4,3,0,0
BARRYBR01 ,2005,Brent,Barry,SAS,N,74,1255,431,29,130,159,123,39,27,52,99,345,156,59,39,202,80
BARRYJO01 ,2005,Jon,Barry,HOU,N,20,341,86,1,30,31,26,13,1,22,25,65,25,29,24,32,12
BASDEED01 ,2005,Eddie,Basden,CHI,N,19,144,39,7,21,28,8,9,2,9,17,37,15,10,8,7,1
BASSBR01  ,2005,Brandon,Bass,NOO,N,29,267,68,18,50,68,3,3,7,11,18,70,28,19,12,0,0
BATISES01 ,2005,Esteban,Batista,ATL,N,58,500,101,61,83,144,7,15,11,38,111,80,34,53,33,1,0
BATTISH01 ,2005,Shane,Battier,MEM,N,81,2843,818,164,265,429,136,92,114,90,223,621,303,208,147,165,65
BATTITO01 ,2005,Tony,Battie,ORL,N,82,2215,649,146,311,457,49,46,69,88,250,552,280,134,89,6,0
BAXTELO01 ,2005,Lonny,Baxter,CHR,N,18,120,36,7,26,33,2,2,1,7,8,32,12,16,12,0,0
BAXTELO01 ,2005,Lonny,Baxter,HOU,N,23,281,82,38,46,84,2,9,7,13,48,72,33,19,16,0,0
BAXTELO01 ,2005,Lonny,Baxter,TOT,N,41,401,118,45,72,117,4,11,8,20,56,104,45,35,28,0,0
BELLCH01  ,2005,Charlie,Bell,MIL,N,59,1282,494,21,99,120,130,59,5,41,126,410,180,89,63,168,71
BELLRA01  ,2005,Raja,Bell,PHO,N,79,2957,1162,44,209,253,207,76,22,89,248,930,425,146,115,446,197
BENDEJO01 ,2005,Jonathan,Bender,IND,N,2,21,10,0,4,4,2,0,1,0,2,5,4,2,2,0,0
BIBBYMI01 ,2005,Mike,Bibby,SAC,N,82,3167,1728,29,211,240,444,82,10,199,169,1382,597,403,342,497,192
BIEDRAN01 ,2005,Andris,Biedrins,GSW,N,68,995,258,124,159,283,24,23,47,34,190,185,118,72,22,0,0
BILLUCH01 ,2005,Chauncey,Billups,DET,N,81,2925,1495,41,211,252,699,71,8,170,160,1012,423,520,465,425,184
BLAKEST01 ,2005,Steve,Blake,POR,N,68,1783,560,26,120,146,306,42,5,83,107,470,206,91,72,184,76
BLATCAN01 ,2005,Andray,Blatche,WAS,N,29,177,65,12,26,38,10,5,7,12,36,67,26,12,10,13,3
BLOUNMA01 ,2005,Mark,Blount,BOS,N,39,1085,485,36,126,162,66,15,36,120,107,380,194,127,97,0,0
BLOUNMA01 ,2005,Mark,Blount,MIN,N,42,1157,429,60,143,203,33,25,40,74,147,354,179,95,71,0,0
BLOUNMA01 ,2005,Mark,Blount,TOT,N,81,2242,914,96,269,365,99,40,76,194,254,734,373,222,168,0,0
